   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(<module>)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(concatenate)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(copyto)
   281/18    0.008    0.000    0.947    0.053 <frozen importlib._bootstrap>:1002(_find_and_load)
  494/296    0.004    0.000    0.700    0.002 <frozen importlib._bootstrap>:1033(_handle_fromlist)
      584    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap>:112(release)
      281    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:152(__init__)
      281    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap>:156(__enter__)
      281    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:160(__exit__)
      584    0.010    0.000    0.014    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      359    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:185(cb)
      303    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
   388/21    0.002    0.000    0.930    0.044 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
     2966    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
      221    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:35(_new_module)
      303    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:351(__init__)
      454    0.002    0.000    0.015    0.000 <frozen importlib._bootstrap>:385(cached)
      869    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:398(parent)
      269    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
       22    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
      269    0.006    0.000    0.028    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
  269/265    0.003    0.000    0.099    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
      359    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:58(__init__)
   269/22    0.006    0.000    0.929    0.042 <frozen importlib._bootstrap>:659(_load_unlocked)
      278    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:736(find_spec)
    22/21    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:757(create_module)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
       22    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
      256    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:811(find_spec)
      584    0.007    0.000    0.008    0.000 <frozen importlib._bootstrap>:87(acquire)
     1068    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:874(__enter__)
     1068    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:878(__exit__)
      278    0.012    0.000    0.137    0.000 <frozen importlib._bootstrap>:901(_find_spec)
   281/18    0.006    0.000    0.945    0.053 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      214    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
       52    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:104(_path_isdir)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1095(__init__)
    26/25    0.001    0.000    0.062    0.002 <frozen importlib._bootstrap_external>:1106(create_module)
    26/21    0.000    0.000    0.036    0.002 <frozen importlib._bootstrap_external>:1114(exec_module)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1147(__init__)
       65    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1153(_find_parent_path_names)
       65    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1163(_get_parent_path)
    58/40    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1167(_recalculate)
    48/39    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1180(__iter__)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1189(__len__)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1228(exec_module)
       30    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:1259(_path_hooks)
      589    0.002    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
  259/256    0.006    0.000    0.112    0.000 <frozen importlib._bootstrap_external>:1309(_get_spec)
      256    0.002    0.000    0.114    0.000 <frozen importlib._bootstrap_external>:1341(find_spec)
       30    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1401(__init__)
      240    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1407(<genexpr>)
      240    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
      520    0.024    0.000    0.095    0.000 <frozen importlib._bootstrap_external>:1438(find_spec)
       30    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1486(_fill_cache)
       30    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1527(path_hook_for_FileFinder)
      428    0.008    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
      520    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      240    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
      214    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:463(_check_name_wrapper)
      214    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:500(_classify_pyc)
      642    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      214    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:533(_validate_timestamp_pyc)
      214    0.004    0.000    0.106    0.000 <frozen importlib._bootstrap_external>:585(_compile_bytecode)
     2865    0.011    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:62(_path_join)
      240    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:636(spec_from_file_location)
     2865    0.011    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
      428    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:781(create_module)
   214/18    0.004    0.000    0.926    0.051 <frozen importlib._bootstrap_external>:784(exec_module)
     1232    0.003    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
      214    0.011    0.000    0.188    0.001 <frozen importlib._bootstrap_external>:856(get_code)
      468    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      214    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:946(__init__)
      214    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:971(get_filename)
      214    0.004    0.000    0.049    0.000 <frozen importlib._bootstrap_external>:976(get_data)
      416    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
       30    0.001    0.000    0.001    0.000 <frozen zipimport>:63(__init__)
      572    0.001    0.000    0.008    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.010    0.010 BmpImagePlugin.py:27(<module>)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:277(DibImageFile)
       13    0.000    0.000    0.000    0.000 BmpImagePlugin.py:49(_accept)
       13    0.000    0.000    0.000    0.000 BmpImagePlugin.py:53(_dib_accept)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:60(BmpImageFile)
        1    0.000    0.000    0.000    0.000 ElementPath.py:334(_SelectorContext)
        1    0.000    0.000    0.004    0.004 ElementPath.py:59(<module>)
        1    0.000    0.000    0.009    0.009 ElementTree.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:106(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1116(_ListDataStream)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1281(XMLPullParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1393(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1515(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1778(C14NWriterTarget)
        1    0.000    0.000    0.000    0.000 ElementTree.py:477(QName)
        1    0.000    0.000    0.000    0.000 ElementTree.py:525(ElementTree)
  814/801    0.010    0.000    0.331    0.000 GifImagePlugin.py:123(seek)
     1195    0.107    0.000    0.317    0.000 GifImagePlugin.py:139(_seek)
        1    0.000    0.000    0.003    0.003 GifImagePlugin.py:27(<module>)
     1234    0.001    0.000    0.001    0.000 GifImagePlugin.py:295(tell)
      420    0.006    0.000    0.020    0.000 GifImagePlugin.py:298(load_end)
       26    0.000    0.000    0.000    0.000 GifImagePlugin.py:41(_accept)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:50(GifImageFile)
     6287    0.019    0.000    0.036    0.000 GifImagePlugin.py:58(data)
       13    0.001    0.000    0.006    0.000 GifImagePlugin.py:64(_open)
  420/407    0.002    0.000    0.196    0.000 GifImagePlugin.py:94(n_frames)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:16(<module>)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:17(<module>)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
      394    0.005    0.000    0.183    0.000 Image.py:1109(copy)
     1001    0.021    0.000    0.037    0.000 Image.py:1141(_crop)
      394    0.003    0.000    0.004    0.000 Image.py:1217(getbands)
      141    0.001    0.000    0.002    0.000 Image.py:1356(getpixel)
      141    0.003    0.000    0.016    0.000 Image.py:1684(putpalette)
      141    0.001    0.000    0.003    0.000 Image.py:1714(putpixel)
        1    0.000    0.000    0.000    0.000 Image.py:2549(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:2558(ImageTransformHandler)
      394    0.002    0.000    0.003    0.000 Image.py:2580(_check_size)
      394    0.005    0.000    0.020    0.000 Image.py:2598(new)
        1    0.001    0.001    0.133    0.133 Image.py:27(<module>)
     1926    0.005    0.000    0.005    0.000 Image.py:2834(_decompression_bomb_check)
       13    0.001    0.000    0.053    0.004 Image.py:2854(open)
       13    0.001    0.000    0.007    0.001 Image.py:2919(_open_core)
